school;sex;age;address;famsize;Pstatus;Medu;Fedu;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;Mjob_teacher;Mjob_health;Mjob_services;Mjob_at_home;Mjob_other;Fjob_teacher;Fjob_health;Fjob_services;Fjob_at_home;Fjob_other;reason_home;reason_reputation;reason_course;reason_other;guardian_mother;guardian_father;guardian_other;G1;G2;G3
0;0;15;0;0;0;2;4;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;10;9;8
0;0;15;0;0;0;3;4;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;12;12;11
0;0;15;0;0;0;2;2;1;1;0;1;1;1;1;1;1;0;0;4;3;1;1;1;2;8;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;14;13;13
0;0;16;0;0;0;4;4;1;2;0;0;1;0;1;1;1;0;0;2;4;4;2;3;4;6;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;10;11;11
0;0;15;0;0;0;1;1;1;2;2;1;1;0;0;0;1;1;1;3;3;4;2;4;5;2;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;8;6;5
0;0;15;0;0;0;1;1;2;4;1;1;1;1;1;1;1;1;0;3;1;2;1;1;1;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;7;10;10
0;0;16;0;0;0;3;3;1;3;1;1;1;0;1;1;1;1;0;4;1;2;1;1;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;7;10;10
0;0;15;0;0;0;3;4;2;3;2;0;1;0;0;1;1;1;1;4;2;2;2;2;5;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;12;0;0
0;0;15;0;0;0;3;3;2;3;2;0;1;1;1;1;1;1;1;4;2;1;2;3;3;8;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;10;10;10
0;0;18;0;0;0;1;1;3;1;3;0;1;0;1;0;1;0;0;5;2;5;1;5;4;6;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;9;8;10
0;0;17;0;0;0;2;2;1;1;0;0;1;0;0;1;1;1;0;5;3;2;1;2;3;18;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;7;6;6
0;0;16;0;0;0;2;2;2;4;0;0;1;1;1;0;1;1;0;5;3;5;1;1;5;6;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;10;10;11
0;0;17;0;0;0;4;3;2;3;0;0;1;1;1;1;1;1;1;4;4;2;1;1;4;6;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;7;7;7
